"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk",739000,78.94,9361.540410438309," 22 kwietnia 2025","4-pokojowe mieszkanie 78m2 + balkon Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-78m2-balkon-bez-prowizji-ID4uQ1N.html"
"Gdańsk, Wrzeszcz",920000,98.27,9361.9619415895," 03 marca 2025","5-pokojowe mieszkanie 98,27 m2","https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-98-27-m2-ID4pJW5.html"
"Gdańsk",500000,53.0,9433.962264150943," 10 kwietnia 2025","Gotowe 3 pokoje + M.PARKINGOWE + DNI OTWARTE !","https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-m-parkingowe-dni-otwarte-ID4wTQN.html"
"Gdańsk",850000,90.0,9444.444444444445," 26 kwietnia 2025","dla rodzin | 4 pokoje | gdańsk | słoneczne","https://www.otodom.pl/pl/oferta/dla-rodzin-4-pokoje-gdansk-sloneczne-ID4wYPE.html"
"Gdańsk",539000,57.0,9456.140350877193," 21 kwietnia 2025","Promocja  539 tyś zł  Cena !!!","https://www.otodom.pl/pl/oferta/promocja-539-tys-zl-cena-ID4g4oq.html"
"Gdańsk",699000,73.8,9471.544715447155," 30 kwietnia 2025","3 Pokoje z przepięknym widokiem!","https://www.otodom.pl/pl/oferta/3-pokoje-z-przepieknym-widokiem-ID4vbUw.html"
"Gdańsk, Nowy Port",439000,46.3,9481.641468682506," 17 kwietnia 2025","Sprzedam mieszkanie Falowiec","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-falowiec-ID4uQRi.html"
"Gdańsk, Jasień",627000,66.08,9488.498789346248," 03 kwietnia 2025","3-pokojowe mieszkanie 66m2 + ogród","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrod-ID4uo1V.html"
"Gdańsk",629000,66.29,9488.61065017348," 21 kwietnia 2025","3-pokojowe mieszkanie 66m2 + ogród","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrod-ID4umSk.html"
"Gdańsk, Pieck",699000,72.8,9601.648351648351,"Migowo - 25 kwietnia 2025","Przestronne Mieszkanie Morena Ul. Piecewska - 5 Po","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-morena-ul-piecewska-5-po-ID4wmqy.html"
"Gdańsk",449000,46.65,9624.86602357985," 07 kwietnia 2025","Słoneczne mieszkanie z widokiem na Martwą Wisłę","https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-widokiem-na-martwa-wisle-ID4wQz4.html"
"Gdańsk, Rudniki",449000,46.5,9655.913978494624," 04 marca 2025","2 pokoje oddzielna kuchnia po generalnym remoncie","https://www.otodom.pl/pl/oferta/2-pokoje-oddzielna-kuchnia-po-generalnym-remoncie-ID4weXU.html"
"Gdańsk, Osowa",485000,50.2,9661.354581673306," 25 kwietnia 2025","2 Pokoje 50m2 / Gdańsk Osowa / Od zaraz","https://www.otodom.pl/pl/oferta/2-pokoje-50m2-gdansk-osowa-od-zaraz-ID4wUmy.html"
"Gdańsk",675000,69.3,9740.25974025974," 08 kwietnia 2025","Dwupoziomowe mieszkanie w spokojnej okolicy!","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-spokojnej-okolicy-ID4uHo1.html"
"Gdańsk",390000,40.0,9750.0," 07 kwietnia 2025","Najtańsze 2 pokoje⭐12min STARÓWKA ⭐ M.Parkingowe⭐","https://www.otodom.pl/pl/oferta/najtansze-2-pokoje12min-starowka-m-parkingowe-ID4wPSL.html"
"Gdańsk",658000,67.47,9752.482584852527," 22 kwietnia 2025","3-pokojowe mieszkanie 67m2 + balkon Bez Prowizji","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-balkon-bez-prowizji-ID4umUr.html"
"Gdańsk",519200,53.0,9796.22641509434," 08 kwietnia 2025","Ostatnie Sztuki ⭐Taras 11m2 ⭐GARDEROBA_Parking 0zł","https://www.otodom.pl/pl/oferta/ostatnie-sztuki-taras-11m2-garderoba-parking-0zl-ID4wR4a.html"
