"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk, Wrzeszcz",849000.0,96.0,8843.75," 26 kwietnia 2025","pod inwestycje | gdańsk - wrzeszcz | parter","https://www.otodom.pl/pl/oferta/pod-inwestycje-gdansk-wrzeszcz-parter-ID4siMc.html"
"Gdańsk, Brętowo",629000.0,71.0,8859.154929577464," 08 kwietnia 2025","W pobliżu PKM! Kominek! Osobna kuchnia!","https://www.otodom.pl/pl/oferta/w-poblizu-pkm-kominek-osobna-kuchnia-ID4wQE4.html"
"Gdańsk",579650.0,64.98,8920.43705755617," Odświeżono dnia 29 kwietnia 2025","Gotowe do odbioru 4 pokoje + Parking_Dni otwarte","https://www.otodom.pl/pl/oferta/gotowe-do-odbioru-4-pokoje-parking-dni-otwarte-ID4v4Ay.html"
"Gdańsk",550000.0,61.5,8943.08943089431," 01 maja 2025","Przestronne mieszkanie na Kowalach!","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-kowalach-ID4v1N3.html"
"Gdańsk",569000.0,63.5,8960.629921259842," 13 marca 2025","Przytulne mieszkanie z potencjałem inwestycyjnym","https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-z-potencjalem-inwestycyjnym-ID4woxq.html"
"Gdańsk, Jasień",699000.0,78.0,8961.538461538461," 23 kwietnia 2025","Bez pozwolenia | 3 pokoje z opcją 5 | Przestronne","https://www.otodom.pl/pl/oferta/bez-pozwolenia-3-pokoje-z-opcja-5-przestronne-ID4v2WK.html"
"Gdańsk, Śródmieście",1299000.0,144.5,8989.61937716263," 18 kwietnia 2025","Przystań Śródmieście - Mieszkania przy Motławie","https://www.otodom.pl/pl/oferta/przystan-srodmiescie-mieszkania-przy-motlawie-ID4wMfP.html"
"Gdańsk Kowale, Faustyny",642240.0,71.36,9000.0,"Zaktualizowano: wczoraj","Gdańsk Kowale Osiedle Westy Nowoczesny Szereg","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/gdansk-kowale-osiedle-westy-nowoczesny-szereg-ogl65794568.html"
"Gdańsk, Jasień",560001.0,62.18,9006.127372145384," 25 kwietnia 2025","Villa Park Gdańsk | mieszkanie 3-pok. | M.2.1","https://www.otodom.pl/pl/oferta/villa-park-gdansk-mieszkanie-3-pok-m-2-1-ID4v6V7.html"
"Gdańsk Św. Wojciech - Lipce, Starogardzka",714000.0,78.94,9044.84418545731,"Zaktualizowano: dzisiaj","Nowe Południe 5A07: dla rodziny i pracy zdalnej","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/nowe-poludnie-5a07-dla-rodziny-i-pracy-zdalnej-ogl66063115.html"
"Gdańsk Wrzeszcz Dolny, Stanisława Wyspiańskiego",950000.0,105.0,9047.619047619048,"Zaktualizowano: 10.03.2025","Doskonała lokalizacja we Wrzeszczu - z parkingiem","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/doskonala-lokalizacja-we-wrzeszczu-z-parkingiem-ogl65892901.html"
